Selected,pseudo_key,has_cons,num_sbs_accts,customer_sbs_spend,cust_lvl_supps,customer_sbs_tenure,PRODUCT_COLOR,segment,platinum,fee,core,redeemer,tenure_sq,freq_traveler,prem_freq_traveler,d_telesalesOB,d_telesalesIB,d_F2F,d_acq_miss,d_eng_acct,d_bus_serv,d_constr,d_misc_retail,d_real_estate,d_wholesale,d_health_serv,d_eat_drink,firm_miss,spend_freq,inactive_freq,high_spend_freq,summer_fun,num_cat,num_cat_sq,spnd_per_trans,trans_per_card,advert_B2B,pts_redeemed_new,imput_rev_cond_fill,gold,green
1,16763,1,1,994445.27,3,75,GREEN,Long Tenure,0,1,1,1,5625,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,0.3649794198,20,400,360.82919811,689,0.1346724626,860000,5000000,0,1
1,16765,0,1,10924.28,1,307,GREEN,Long Tenure,0,1,1,1,94249,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,12,0,0,0,8,64,128.52094118,42.5,0,14289,235962423.32,0,1
1,16769,1,1,13147.31,0,148,GOLD,Long Tenure,0,1,1,0,21904,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,12,0,0,0,5,25,82.1706875,160,0,0,417309,1,0
1,16770,1,1,80008.12,1,142,GREEN,Long Tenure,0,1,1,1,20164,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,10,0,2,0,13,169,406.13258883,98.5,0,87750,241749433.48,0,1
1,16779,0,1,74007.42,0,155,GOLD,Long Tenure,0,1,1,1,24025,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,12,0,0,0,11,121,208.47160563,355,0.0542422051,108000,242097939.94,1,0
1,16783,0,1,81271.55,0,163,GOLD,Long Tenure,0,1,1,1,26569,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12,0,0,0,12,144,374.52327189,217,0.004686926,74250,1841802,1,0
1,16789,0,1,306866.98,2,136,GOLD,Long Tenure,0,1,1,0,18496,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,7,0.1974767576,18,324,457.32783905,223.66666667,0.0242248281,0,3217447,1,0
1,16795,0,1,31002.93,1,174,GOLD,Long Tenure,0,1,1,0,30276,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12,0,0,0,8,64,89.08887931,174,0,0,5277518,1,0
1,16799,1,1,42626.95,2,80,PLATINUM,Long Tenure,1,1,1,1,6400,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0.0089326501,16,256,175.41954733,81,0.0026826581,350000,1250442,0,0
1,16804,0,1,38433.18,2,84,GOLD,Long Tenure,0,1,1,0,7056,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,0,0,1,10,100,137.75333333,93,0,0,2533117,1,0
